EVENT,ENCODING
Note-Velocity_20,148.0
Note-On_68,68.0
Note-Duration_8/64,167.0
Position_42/64,235.0
Note-Velocity_21,149.0
Note-On_69,69.0
Note-Duration_8/64,167.0
Position_48/64,241.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Position_51/64,244.0
Note-Velocity_20,148.0
Note-On_68,68.0
Note-Duration_8/64,167.0
Position_60/64,253.0
Note-Velocity_14,142.0
Note-On_71,71.0
Note-Duration_6/64,165.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_4,261.0
Tempo_215.00,313.0
Chord-Tone_E,326.0
Chord-Type_,346.0
Chord-Slash_E,338.0
Position_3/64,196.0
Note-Velocity_22,150.0
Note-On_73,73.0
Note-Duration_7/64,166.0
Position_10/64,203.0
Note-Velocity_27,155.0
Note-On_76,76.0
Note-Duration_7/64,166.0
Position_16/64,209.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Position_17/64,210.0
Note-Velocity_25,153.0
Note-On_76,76.0
Note-Duration_8/64,167.0
Position_26/64,219.0
Note-Velocity_26,154.0
Note-On_76,76.0
Note-Duration_6/64,165.0
Position_32/64,225.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Position_33/64,226.0
Note-Velocity_26,154.0
Note-On_80,80.0
Note-Duration_8/64,167.0
Position_42/64,235.0
Note-Velocity_21,149.0
Note-On_76,76.0
Note-Duration_5/64,164.0
Position_48/64,241.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Note-Velocity_25,153.0
Note-On_80,80.0
Note-Duration_8/64,167.0
Position_58/64,251.0
Note-Velocity_23,151.0
Note-On_76,76.0
Note-Duration_8/64,167.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Chord-Tone_E,326.0
Chord-Type_7,368.0
Chord-Slash_E,338.0
Position_10/64,203.0
Note-Velocity_26,154.0
Note-On_74,74.0
Note-Duration_6/64,165.0
Position_16/64,209.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Position_17/64,210.0
Note-Velocity_26,154.0
Note-On_76,76.0
Note-Duration_7/64,166.0
Position_25/64,218.0
Note-Velocity_21,149.0
Note-On_74,74.0
Note-Duration_7/64,166.0
Position_32/64,225.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Position_33/64,226.0
Note-Velocity_25,153.0
Note-On_76,76.0
Note-Duration_8/64,167.0
Position_42/64,235.0
Note-Velocity_25,153.0
Note-On_74,74.0
Note-Duration_6/64,165.0
Position_48/64,241.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Position_49/64,242.0
Note-Velocity_24,152.0
Note-On_73,73.0
Note-Duration_9/64,168.0
Position_59/64,252.0
Note-Velocity_21,149.0
Note-On_71,71.0
Note-Duration_6/64,165.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Chord-Tone_A,331.0
Chord-Type_-,354.0
Chord-Slash_A,343.0
Position_2/64,195.0
Note-Velocity_22,150.0
Note-On_72,72.0
Note-Duration_7/64,166.0
Position_11/64,204.0
Note-Velocity_24,152.0
Note-On_71,71.0
Note-Duration_6/64,165.0
Position_16/64,209.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Position_18/64,211.0
Note-Velocity_17,145.0
Note-On_69,69.0
Note-Duration_7/64,166.0
Position_27/64,220.0
Note-Velocity_20,148.0
Note-On_71,71.0
Note-Duration_3/64,162.0
Position_30/64,223.0
Note-Velocity_24,152.0
Note-On_72,72.0
Note-Duration_9/64,168.0
Position_32/64,225.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Position_42/64,235.0
Note-Velocity_21,149.0
Note-On_69,69.0
Note-Duration_7/64,166.0
Position_48/64,241.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Position_49/64,242.0
Note-Velocity_18,146.0
Note-On_68,68.0
Note-Duration_7/64,166.0
Position_58/64,251.0
Note-Velocity_23,151.0
Note-On_69,69.0
Note-Duration_6/64,165.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Chord-Tone_E,326.0
Chord-Type_7,368.0
Chord-Slash_E,338.0
Position_1/64,194.0
Note-Velocity_22,150.0
Note-On_68,68.0
Note-Duration_7/64,166.0
Position_9/64,202.0
Note-Velocity_19,147.0
Note-On_69,69.0
Note-Duration_6/64,165.0
Position_16/64,209.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Position_17/64,210.0
Note-Velocity_25,153.0
Note-On_69,69.0
Note-Duration_7/64,166.0
Position_25/64,218.0
Note-Velocity_22,150.0
Note-On_68,68.0
Note-Duration_7/64,166.0
Position_32/64,225.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Position_33/64,226.0
Note-Velocity_22,150.0
Note-On_68,68.0
Note-Duration_9/64,168.0
Position_43/64,236.0
Note-Velocity_25,153.0
Note-On_69,69.0
Note-Duration_6/64,165.0
Position_48/64,241.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Position_50/64,243.0
Note-Velocity_22,150.0
Note-On_68,68.0
Note-Duration_7/64,166.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Chord-Tone_A,331.0
Chord-Type_,346.0
Chord-Slash_A,343.0
Position_1/64,194.0
MLU-Type_lick,397.0
MLU-Subtype_lick-general,402.0
Note-Velocity_25,153.0
Note-On_64,64.0
Note-Duration_9/64,168.0
Position_12/64,205.0
Note-Velocity_19,147.0
Note-On_64,64.0
Note-Duration_5/64,164.0
Position_16/64,209.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Position_17/64,210.0
Note-Velocity_22,150.0
Note-On_68,68.0
Note-Duration_7/64,166.0
Position_28/64,221.0
Note-Velocity_17,145.0
Note-On_64,64.0
Note-Duration_6/64,165.0
Position_32/64,225.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Position_34/64,227.0
Note-Velocity_22,150.0
Note-On_68,68.0
Note-Duration_6/64,165.0
Position_42/64,235.0
Note-Velocity_22,150.0
Note-On_68,68.0
Note-Duration_6/64,165.0
Position_48/64,241.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Position_49/64,242.0
Note-Velocity_20,148.0
Note-On_67,67.0
Note-Duration_7/64,166.0
Position_59/64,252.0
Note-Velocity_15,143.0
Note-On_64,64.0
Note-Duration_3/64,162.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Chord-Tone_A,331.0
Chord-Type_,346.0
Chord-Slash_A,343.0
Position_1/64,194.0
Note-Velocity_19,147.0
Note-On_68,68.0
Note-Duration_7/64,166.0
Position_10/64,203.0
Note-Velocity_19,147.0
Note-On_67,67.0
Note-Duration_4/64,163.0
Position_16/64,209.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Position_17/64,210.0
Note-Velocity_20,148.0
Note-On_64,64.0
Note-Duration_9/64,168.0
Position_28/64,221.0
Note-Velocity_18,146.0
Note-On_64,64.0
Note-Duration_5/64,164.0
Position_32/64,225.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Position_42/64,235.0
Note-Velocity_22,150.0
Note-On_68,68.0
Note-Duration_6/64,165.0
Position_48/64,241.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Position_50/64,243.0
Note-Velocity_18,146.0
Note-On_66,66.0
Note-Duration_13/64,172.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Chord-Tone_B,333.0
Chord-Type_7,368.0
Chord-Slash_B,345.0
Position_2/64,195.0
Note-Velocity_22,150.0
Note-On_68,68.0
Note-Duration_7/64,166.0
Position_10/64,203.0
Note-Velocity_20,148.0
Note-On_66,66.0
Note-Duration_6/64,165.0
Position_16/64,209.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Position_17/64,210.0
Note-Velocity_22,150.0
Note-On_68,68.0
Note-Duration_6/64,165.0
Position_22/64,215.0
Note-Velocity_15,143.0
Note-On_66,66.0
Note-Duration_4/64,163.0
Position_32/64,225.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Note-Velocity_24,152.0
Note-On_64,64.0
Note-Duration_8/64,167.0
Position_42/64,235.0
Note-Velocity_25,153.0
Note-On_64,64.0
Note-Duration_7/64,166.0
Position_48/64,241.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Position_51/64,244.0
Note-Velocity_20,148.0
Note-On_64,64.0
Note-Duration_2/64,161.0
Position_54/64,247.0
Note-Velocity_15,143.0
Note-On_64,64.0
Note-Duration_3/64,162.0
Position_58/64,251.0
Note-Velocity_22,150.0
Note-On_56,56.0
Note-Duration_5/64,164.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Chord-Tone_E,326.0
Chord-Type_,346.0
Chord-Slash_E,338.0
Position_1/64,194.0
Note-Velocity_22,150.0
Note-On_64,64.0
Note-Duration_8/64,167.0
Position_11/64,204.0
Note-Velocity_15,143.0
Note-On_52,52.0
Note-Duration_7/64,166.0
Position_16/64,209.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Position_19/64,212.0
Note-Velocity_15,143.0
Note-On_59,59.0
Note-Duration_3/64,162.0
Position_22/64,215.0
Note-Velocity_22,150.0
Note-On_64,64.0
Note-Duration_2/64,161.0
Position_25/64,218.0
Note-Velocity_20,148.0
Note-On_64,64.0
Note-Duration_3/64,162.0
Position_28/64,221.0
Note-Velocity_19,147.0
Note-On_64,64.0
Note-Duration_5/64,164.0
Position_32/64,225.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Position_34/64,227.0
Note-Velocity_21,149.0
Note-On_63,63.0
Note-Duration_8/64,167.0
Position_44/64,237.0
Note-Velocity_21,149.0
Note-On_64,64.0
Note-Duration_5/64,164.0
Position_48/64,241.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Position_50/64,243.0
Note-Velocity_22,150.0
Note-On_64,64.0
Note-Duration_10/64,169.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Chord-Tone_E,326.0
Chord-Type_,346.0
Chord-Slash_E,338.0
Note-Velocity_25,153.0
Note-On_64,64.0
Note-Duration_10/64,169.0
Position_11/64,204.0
Note-Velocity_15,143.0
Note-On_64,64.0
Note-Duration_3/64,162.0
Position_15/64,208.0
Note-Velocity_23,151.0
Note-On_64,64.0
Note-Duration_9/64,168.0
Position_16/64,209.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Position_25/64,218.0
Note-Velocity_21,149.0
Note-On_64,64.0
Note-Duration_7/64,166.0
Position_32/64,225.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Note-Velocity_20,148.0
Note-On_64,64.0
Note-Duration_7/64,166.0
Position_41/64,234.0
Note-Velocity_22,150.0
Note-On_64,64.0
Note-Duration_5/64,164.0
Position_46/64,239.0
Note-Velocity_22,150.0
Note-On_64,64.0
Note-Duration_6/64,165.0
Position_48/64,241.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Position_53/64,246.0
Note-Velocity_19,147.0
Note-On_63,63.0
Note-Duration_3/64,162.0
Position_56/64,249.0
Note-Velocity_21,149.0
Note-On_64,64.0
Note-Duration_5/64,164.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Chord-Tone_A,331.0
Chord-Type_-,354.0
Chord-Slash_A,343.0
Note-Velocity_23,151.0
Note-On_57,57.0
Note-Duration_8/64,167.0
Position_10/64,203.0
Note-Velocity_22,150.0
Note-On_62,62.0
Note-Duration_6/64,165.0
Position_16/64,209.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Position_17/64,210.0
Note-Velocity_22,150.0
Note-On_64,64.0
Note-Duration_7/64,166.0
Position_25/64,218.0
Note-Velocity_21,149.0
Note-On_64,64.0
Note-Duration_7/64,166.0
Position_32/64,225.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Position_33/64,226.0
Note-Velocity_21,149.0
Note-On_64,64.0
Note-Duration_7/64,166.0
Position_41/64,234.0
Note-Velocity_22,150.0
Note-On_64,64.0
Note-Duration_6/64,165.0
Position_48/64,241.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Position_49/64,242.0
Note-Velocity_21,149.0
Note-On_64,64.0
Note-Duration_7/64,166.0
Position_56/64,249.0
Note-Velocity_22,150.0
Note-On_64,64.0
Note-Duration_7/64,166.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Chord-Tone_E,326.0
Chord-Type_7,368.0
Chord-Slash_E,338.0
Note-Velocity_22,150.0
Note-On_64,64.0
Note-Duration_8/64,167.0
Position_8/64,201.0
Note-Velocity_22,150.0
Note-On_64,64.0
Note-Duration_7/64,166.0
Position_16/64,209.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Note-Velocity_21,149.0
Note-On_63,63.0
Note-Duration_6/64,165.0
Position_23/64,216.0
Note-Velocity_22,150.0
Note-On_76,76.0
Note-Duration_8/64,167.0
Position_32/64,225.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Position_34/64,227.0
Note-Velocity_25,153.0
Note-On_74,74.0
Note-Duration_8/64,167.0
Position_43/64,236.0
Note-Velocity_14,142.0
Note-On_69,69.0
Note-Duration_5/64,164.0
Position_48/64,241.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Position_50/64,243.0
Note-Velocity_22,150.0
Note-On_71,71.0
Note-Duration_8/64,167.0
Position_59/64,252.0
Note-Velocity_23,151.0
Note-On_68,68.0
Note-Duration_6/64,165.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Chord-Tone_A,331.0
Chord-Type_,346.0
Chord-Slash_A,343.0
Position_1/64,194.0
Note-Velocity_20,148.0
Note-On_69,69.0
Note-Duration_7/64,166.0
Position_9/64,202.0
Note-Velocity_23,151.0
Note-On_64,64.0
Note-Duration_6/64,165.0
Position_16/64,209.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Position_17/64,210.0
Note-Velocity_23,151.0
Note-On_69,69.0
Note-Duration_8/64,167.0
Position_28/64,221.0
Note-Velocity_21,149.0
Note-On_69,69.0
Note-Duration_5/64,164.0
Position_32/64,225.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Position_33/64,226.0
Note-Velocity_22,150.0
Note-On_69,69.0
Note-Duration_7/64,166.0
Position_42/64,235.0
Note-Velocity_23,151.0
Note-On_64,64.0
Note-Duration_6/64,165.0
Position_48/64,241.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Position_50/64,243.0
Note-Velocity_22,150.0
Note-On_64,64.0
Note-Duration_7/64,166.0
Position_59/64,252.0
Note-Velocity_22,150.0
Note-On_64,64.0
Note-Duration_5/64,164.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Chord-Tone_B,333.0
Chord-Type_7,368.0
Chord-Slash_B,345.0
Position_1/64,194.0
Note-Velocity_22,150.0
Note-On_63,63.0
Note-Duration_7/64,166.0
Position_11/64,204.0
Note-Velocity_21,149.0
Note-On_64,64.0
Note-Duration_3/64,162.0
Position_14/64,207.0
Note-Velocity_22,150.0
Note-On_63,63.0
Note-Duration_8/64,167.0
Position_16/64,209.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Position_26/64,219.0
Note-Velocity_21,149.0
Note-On_64,64.0
Note-Duration_6/64,165.0
Position_32/64,225.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Position_34/64,227.0
Note-Velocity_22,150.0
Note-On_64,64.0
Note-Duration_7/64,166.0
Position_42/64,235.0
Note-Velocity_21,149.0
Note-On_63,63.0
Note-Duration_5/64,164.0
Position_48/64,241.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Position_49/64,242.0
Note-Velocity_21,149.0
Note-On_59,59.0
Note-Duration_7/64,166.0
Position_58/64,251.0
Note-Velocity_21,149.0
Note-On_57,57.0
Note-Duration_7/64,166.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Chord-Tone_E,326.0
Chord-Type_,346.0
Chord-Slash_E,338.0
Position_1/64,194.0
Note-Velocity_22,150.0
Note-On_52,52.0
Note-Duration_7/64,166.0
Position_10/64,203.0
Note-Velocity_21,149.0
Note-On_52,52.0
Note-Duration_6/64,165.0
Position_16/64,209.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Position_17/64,210.0
Note-Velocity_21,149.0
Note-On_59,59.0
Note-Duration_7/64,166.0
Position_26/64,219.0
Note-Velocity_25,153.0
Note-On_64,64.0
Note-Duration_6/64,165.0
Position_32/64,225.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Position_33/64,226.0
Note-Velocity_22,150.0
Note-On_64,64.0
Note-Duration_7/64,166.0
Position_48/64,241.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Position_49/64,242.0
Note-Velocity_23,151.0
Note-On_68,68.0
Note-Duration_8/64,167.0
Position_59/64,252.0
Note-Velocity_22,150.0
Note-On_64,64.0
Note-Duration_6/64,165.0
Bar,192.0
